Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
MOEADDRA,WFG5_5,HV,2,0.508340685054292
MOEADDRA,WFG5_5,HV,3,0.4925205831955722
MOEADDRA,WFG5_5,HV,4,0.50508197895976
MOEADDRA,WFG4_5,HV,0,0.25821009060571903
MOEADDRA,WFG4_5,HV,1,0.3057906864264011
MOEADDRA,WFG4_5,HV,2,0.2896393649367174
MOEADDRA,WFG4_5,HV,3,0.2890588488455045
MOEADDRA,WFG4_5,HV,4,0.2556782093847586
MOEADDRA,WFG6_5,HV,0,0.4763869229569874
MOEADDRA,WFG6_5,HV,1,0.4554964037081386
MOEADDRA,WFG6_5,HV,2,0.4642174884529514
MOEADDRA,WFG6_5,HV,3,0.41727242412689197
MOEADDRA,WFG6_5,HV,4,0.4525416735452975
MOEADDRA,WFG7_5,HV,0,0.30708372904840625
MOEADDRA,WFG7_5,HV,1,0.25548017856692434
MOEADDRA,WFG7_5,HV,2,0.2820242826900772
MOEADDRA,WFG7_5,HV,3,0.24493623006432863
MOEADDRA,WFG7_5,HV,4,0.25268872779475293
MOEADDRA,WFG8_5,HV,0,0.2949802344335402
MOEADDRA,WFG8_5,HV,1,0.3638404750340557
MOEADDRA,WFG8_5,HV,2,0.3125108522866844
MOEADDRA,WFG8_5,HV,3,0.25527157723834176
MOEADDRA,WFG8_5,HV,4,0.2688310636126297
MOEADDRA,WFG9_5,HV,0,0.5326001879226924
MOEADDRA,WFG9_5,HV,1,0.49734469742556914
MOEADDRA,WFG9_5,HV,2,0.4989606998760757
MOEADDRA,WFG9_5,HV,3,0.46292233156278895
MOEADDRA,WFG9_5,HV,4,0.4717774499296377
MOEADD,WFG1_2,HV,0,0.45629865613585363
MOEADD,WFG1_2,HV,1,0.5679041028035618
MOEADD,WFG1_2,HV,2,0.4920032301235113
MOEADD,WFG1_2,HV,3,0.5414279535614064
MOEADD,WFG1_2,HV,4,0.556078455149539
MOEADD,WFG2_2,HV,0,0.5581608282911539
MOEADD,WFG2_2,HV,1,0.5597629305600555
MOEADD,WFG2_2,HV,2,0.5579207369482029
MOEADD,WFG2_2,HV,3,0.5530628629550383
MOEADD,WFG2_2,HV,4,0.5588148463277857
MOEADD,WFG3_2,HV,0,0.4411296208624553
MOEADD,WFG3_2,HV,1,0.44055211335400124
MOEADD,WFG3_2,HV,2,0.44084613043079013
MOEADD,WFG3_2,HV,3,0.4404325877792562
MOEADD,WFG3_2,HV,4,0.4412311591864353
MOEADD,WFG5_2,HV,0,0.19462055337987738
MOEADD,WFG5_2,HV,1,0.19469033627256072
MOEADD,WFG5_2,HV,2,0.194430933870625
MOEADD,WFG5_2,HV,3,0.19468955135086774
MOEADD,WFG5_2,HV,4,0.1946881066603527
MOEADD,WFG4_2,HV,0,0.2173150942497679
MOEADD,WFG4_2,HV,1,0.21730164057833246
MOEADD,WFG4_2,HV,2,0.2174009239157484
MOEADD,WFG4_2,HV,3,0.21698453244588406
MOEADD,WFG4_2,HV,4,0.21723072262217907
MOEADD,WFG6_2,HV,0,0.178633674599532
MOEADD,WFG6_2,HV,1,0.1836834153893805
MOEADD,WFG6_2,HV,2,0.1837481059301426
MOEADD,WFG6_2,HV,3,0.17722744040430197
MOEADD,WFG6_2,HV,4,0.18540803496609193
MOEADD,WFG7_2,HV,0,0.20932604295402107
MOEADD,WFG7_2,HV,1,0.20928706577542835
MOEADD,WFG7_2,HV,2,0.20927478846121625
MOEADD,WFG7_2,HV,3,0.20929023939938177
MOEADD,WFG7_2,HV,4,0.2092332204515414
MOEADD,WFG8_2,HV,0,0.17654315495433834
MOEADD,WFG8_2,HV,1,0.17546348296239678
MOEADD,WFG8_2,HV,2,0.17509282507976356
MOEADD,WFG8_2,HV,3,0.1781478881664081
MOEADD,WFG8_2,HV,4,0.17680276664011624
MOEADD,WFG9_2,HV,0,0.23615145973565524
MOEADD,WFG9_2,HV,1,0.23538559843312887
MOEADD,WFG9_2,HV,2,0.2293467819598282
MOEADD,WFG9_2,HV,3,0.23194927566621204
MOEADD,WFG9_2,HV,4,0.17506498681930885
MOEADD,WFG1_3,HV,0,0.2895070446548965
MOEADD,WFG1_3,HV,1,0.627013258781897
MOEADD,WFG1_3,HV,2,0.4354458758927696
MOEADD,WFG1_3,HV,3,0.3583051684231473
MOEADD,WFG1_3,HV,4,0.39238998902222144
MOEADD,WFG2_3,HV,0,0.8906678348408607
MOEADD,WFG2_3,HV,1,0.7555113690447933
MOEADD,WFG2_3,HV,2,0.7492423116011933
MOEADD,WFG2_3,HV,3,0.8890011383169918
MOEADD,WFG2_3,HV,4,0.8908422846845139
MOEADD,WFG3_3,HV,0,0.22620844445602054
MOEADD,WFG3_3,HV,1,0.2130780211738847
MOEADD,WFG3_3,HV,2,0.1970138818072026
MOEADD,WFG3_3,HV,3,0.21137319124543083
MOEADD,WFG3_3,HV,4,0.21522021523073281
MOEADD,WFG5_3,HV,0,0.35919125422533615
MOEADD,WFG5_3,HV,1,0.35708624934668154
MOEADD,WFG5_3,HV,2,0.35397693869048164
MOEADD,WFG5_3,HV,3,0.3524335094227936
MOEADD,WFG5_3,HV,4,0.3539082850263249
MOEADD,WFG4_3,HV,0,0.3943992381619707
MOEADD,WFG4_3,HV,1,0.3796513416961666
MOEADD,WFG4_3,HV,2,0.37628177078247504
MOEADD,WFG4_3,HV,3,0.37876868428011284
MOEADD,WFG4_3,HV,4,0.3791241633564328
MOEADD,WFG6_3,HV,0,0.37429539027783376
MOEADD,WFG6_3,HV,1,0.35886762006920475
MOEADD,WFG6_3,HV,2,0.3585606741677877
MOEADD,WFG6_3,HV,3,0.33664263622008744
MOEADD,WFG6_3,HV,4,0.3484167065268121
MOEADD,WFG7_3,HV,0,0.3952694158527559
MOEADD,WFG7_3,HV,1,0.39457872621099904
MOEADD,WFG7_3,HV,2,0.38759321440841826
MOEADD,WFG7_3,HV,3,0.3863858369999344
MOEADD,WFG7_3,HV,4,0.38590730169003284
MOEADD,WFG8_3,HV,0,0.3187096741168751
MOEADD,WFG8_3,HV,1,0.30254116896517746
MOEADD,WFG8_3,HV,2,0.30467802603083727
MOEADD,WFG8_3,HV,3,0.3110100592586731
MOEADD,WFG8_3,HV,4,0.3044748042219129
MOEADD,WFG9_3,HV,0,0.3080778162663579
MOEADD,WFG9_3,HV,1,0.3058668748355384
MOEADD,WFG9_3,HV,2,0.3385931921346106
MOEADD,WFG9_3,HV,3,0.3493251993472731
